outcome,unified_win_pct,modular_win_pct,tie_pct,unified_ci_lo,unified_ci_hi,condition,z,mod_cell,n,same_product_pct
overall_winner,0.4666666666666667,0.5166666666666667,0.016666666666666666,0.34958333333333336,0.6,baseline,0,00,60,0.8333333333333334
purchase_winner,0.4,0.48333333333333334,0.11666666666666667,0.2833333333333333,0.5333333333333333,baseline,0,00,60,0.8333333333333334
satisfaction_winner,0.35,0.43333333333333335,0.21666666666666667,0.23333333333333334,0.4666666666666667,baseline,0,00,60,0.8333333333333334
trust_winner,0.45,0.48333333333333334,0.06666666666666667,0.31666666666666665,0.5833333333333334,baseline,0,00,60,0.8333333333333334
overall_winner,0.2833333333333333,0.7166666666666667,0.0,0.18291666666666667,0.4,treated,1,11,60,0.6166666666666667
purchase_winner,0.4,0.5666666666666667,0.03333333333333333,0.26666666666666666,0.5166666666666667,treated,1,11,60,0.6166666666666667
satisfaction_winner,0.25,0.6833333333333333,0.06666666666666667,0.15,0.36666666666666664,treated,1,11,60,0.6166666666666667
trust_winner,0.23333333333333334,0.7166666666666667,0.05,0.13333333333333333,0.35,treated,1,11,60,0.6166666666666667
