component,mean,se,ci_lo,ci_hi,p_positive,point_estimate
retrieval,-0.8280568186020852,0.2732057121010236,-1.3785415376027144,-0.32557154926964266,0.0,-0.8185373840324734
expression,0.7039347576359157,0.1616107728061542,0.3884608457490867,1.0326258339493553,1.0,0.7008763912808531
total,-0.3690335073787003,0.2688587985484231,-0.8984947259941508,0.1298176979880128,0.078,-0.36860952220413945
interaction,-0.24491144641253088,0.22837708235690685,-0.6987497923461938,0.20113457393505063,0.141,-0.2509485294525191
